#    L    TT             EE             TE             PP             TP          
   177   0.377980E+04   0.663713E+00  -0.269199E+02   0.335761E+07   0.233500E+04
   178   0.379594E+04   0.653526E+00  -0.262456E+02   0.333453E+07   0.231435E+04
   179   0.381166E+04   0.643401E+00  -0.255481E+02   0.331163E+07   0.229389E+04
   180   0.382712E+04   0.633561E+00  -0.248290E+02   0.328892E+07   0.227362E+04
   181   0.384207E+04   0.624011E+00  -0.240884E+02   0.326640E+07   0.225353E+04
   182   0.385662E+04   0.614825E+00  -0.233250E+02   0.324405E+07   0.223362E+04
   183   0.387068E+04   0.605931E+00  -0.225403E+02   0.322189E+07   0.221390E+04
   184   0.388439E+04   0.597405E+00  -0.217338E+02   0.319990E+07   0.219436E+04
   185   0.389771E+04   0.589398E+00  -0.209078E+02   0.317809E+07   0.217501E+04
   186   0.391024E+04   0.581772E+00  -0.200594E+02   0.315646E+07   0.215583E+04
   187   0.392266E+04   0.574667E+00  -0.191903E+02   0.313500E+07   0.213684E+04
   188   0.393461E+04   0.568073E+00  -0.183020E+02   0.311372E+07   0.211802E+04
   189   0.394600E+04   0.562028E+00  -0.173932E+02   0.309261E+07   0.209938E+04
   190   0.395730E+04   0.556585E+00  -0.164663E+02   0.307167E+07   0.208093E+04
   191   0.396774E+04   0.551770E+00  -0.155184E+02   0.305090E+07   0.206265E+04
   192   0.397787E+04   0.547606E+00  -0.145518E+02   0.303029E+07   0.204454E+04
   193   0.398746E+04   0.544140E+00  -0.135682E+02   0.300986E+07   0.202661E+04
   194   0.399673E+04   0.541403E+00  -0.125654E+02   0.298959E+07   0.200886E+04
   195   0.400546E+04   0.539435E+00  -0.115457E+02   0.296948E+07   0.199128E+04
   196   0.401365E+04   0.538274E+00  -0.105087E+02   0.294953E+07   0.197388E+04
   197   0.402146E+04   0.537967E+00  -0.945584E+01   0.292975E+07   0.195665E+04
   198   0.402881E+04   0.538539E+00  -0.838653E+01   0.291013E+07   0.193959E+04
   199   0.403570E+04   0.540028E+00  -0.730165E+01   0.289066E+07   0.192270E+04
   200   0.404214E+04   0.542466E+00  -0.620204E+01   0.287136E+07   0.190598E+04
   201   0.404806E+04   0.545913E+00  -0.508707E+01   0.285221E+07   0.188944E+04
   202   0.405352E+04   0.550367E+00  -0.395825E+01   0.283321E+07   0.187306E+04
   203   0.405846E+04   0.555878E+00  -0.281482E+01   0.281437E+07   0.185684E+04
   204   0.406280E+04   0.562459E+00  -0.165975E+01   0.279568E+07   0.184080E+04
   205   0.406670E+04   0.570143E+00  -0.490817E+00   0.277714E+07   0.182491E+04
   206   0.407001E+04   0.578959E+00   0.690734E+00   0.275875E+07   0.180918E+04
   207   0.407288E+04   0.588917E+00   0.188446E+01   0.274051E+07   0.179362E+04
   208   0.407508E+04   0.600060E+00   0.308983E+01   0.272242E+07   0.177820E+04
   209   0.407678E+04   0.612400E+00   0.430650E+01   0.270448E+07   0.176295E+04
   210   0.407796E+04   0.625980E+00   0.553357E+01   0.268668E+07   0.174784E+04
   211   0.407864E+04   0.640818E+00   0.677099E+01   0.266903E+07   0.173289E+04
   212   0.407866E+04   0.656934E+00   0.801782E+01   0.265152E+07   0.171808E+04
   213   0.407826E+04   0.674363E+00   0.927412E+01   0.263416E+07   0.170343E+04
   214   0.407728E+04   0.693087E+00   0.105387E+02   0.261693E+07   0.168891E+04
   215   0.407580E+04   0.713290E+00   0.118108E+02   0.259985E+07   0.167454E+04
   216   0.407375E+04   0.734775E+00   0.130909E+02   0.258291E+07   0.166031E+04
   217   0.407128E+04   0.757689E+00   0.143771E+02   0.256610E+07   0.164622E+04
   218   0.406824E+04   0.782020E+00   0.156696E+02   0.254943E+07   0.163227E+04
   219   0.406470E+04   0.807761E+00   0.169693E+02   0.253290E+07   0.161845E+04
