#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   105   0.210153E+04  -0.217806E+02   0.284164E-03  -0.217806E+02   0.796093E+00  -0.137647E-05   0.284164E-03  -0.137647E-05   0.121135E-06
   106   0.212483E+04  -0.223267E+02   0.280726E-03  -0.223267E+02   0.807923E+00  -0.133930E-05   0.280726E-03  -0.133930E-05   0.120298E-06
   107   0.214804E+04  -0.228691E+02   0.277360E-03  -0.228691E+02   0.819411E+00  -0.130276E-05   0.277360E-03  -0.130276E-05   0.119464E-06
   108   0.217161E+04  -0.234085E+02   0.274062E-03  -0.234085E+02   0.830632E+00  -0.126776E-05   0.274062E-03  -0.126776E-05   0.118635E-06
   109   0.219532E+04  -0.239435E+02   0.270832E-03  -0.239435E+02   0.841511E+00  -0.123523E-05   0.270832E-03  -0.123523E-05   0.117810E-06
   110   0.221908E+04  -0.244728E+02   0.267665E-03  -0.244728E+02   0.852051E+00  -0.120607E-05   0.267665E-03  -0.120607E-05   0.116989E-06
   111   0.224298E+04  -0.249977E+02   0.264560E-03  -0.249977E+02   0.862324E+00  -0.118100E-05   0.264560E-03  -0.118100E-05   0.116172E-06
   112   0.226701E+04  -0.255177E+02   0.261515E-03  -0.255177E+02   0.872258E+00  -0.115990E-05   0.261515E-03  -0.115990E-05   0.115360E-06
   113   0.229125E+04  -0.260312E+02   0.258528E-03  -0.260312E+02   0.881854E+00  -0.114245E-05   0.258528E-03  -0.114245E-05   0.114552E-06
   114   0.231556E+04  -0.265375E+02   0.255598E-03  -0.265375E+02   0.891041E+00  -0.112831E-05   0.255598E-03  -0.112831E-05   0.113749E-06
   115   0.234008E+04  -0.270367E+02   0.252722E-03  -0.270367E+02   0.899967E+00  -0.111716E-05   0.252722E-03  -0.111716E-05   0.112950E-06
   116   0.236460E+04  -0.275282E+02   0.249901E-03  -0.275282E+02   0.908412E+00  -0.110868E-05   0.249901E-03  -0.110868E-05   0.112156E-06
   117   0.238940E+04  -0.280110E+02   0.247130E-03  -0.280110E+02   0.916451E+00  -0.110253E-05   0.247130E-03  -0.110253E-05   0.111367E-06
   118   0.241436E+04  -0.284861E+02   0.244411E-03  -0.284861E+02   0.924234E+00  -0.109840E-05   0.244411E-03  -0.109840E-05   0.110582E-06
   119   0.243931E+04  -0.289513E+02   0.241739E-03  -0.289513E+02   0.931615E+00  -0.109595E-05   0.241739E-03  -0.109595E-05   0.109801E-06
   120   0.246441E+04  -0.294066E+02   0.239115E-03  -0.294066E+02   0.938446E+00  -0.109486E-05   0.239115E-03  -0.109486E-05   0.109026E-06
   121   0.248951E+04  -0.298519E+02   0.236536E-03  -0.298519E+02   0.945026E+00  -0.109481E-05   0.236536E-03  -0.109481E-05   0.108255E-06
   122   0.251470E+04  -0.302867E+02   0.234001E-03  -0.302867E+02   0.951059E+00  -0.109546E-05   0.234001E-03  -0.109546E-05   0.107489E-06
   123   0.253996E+04  -0.307110E+02   0.231509E-03  -0.307110E+02   0.956621E+00  -0.109649E-05   0.231509E-03  -0.109649E-05   0.106727E-06
   124   0.256530E+04  -0.311217E+02   0.229057E-03  -0.311217E+02   0.961789E+00  -0.109757E-05   0.229057E-03  -0.109757E-05   0.105971E-06
   125   0.259066E+04  -0.315212E+02   0.226644E-03  -0.315212E+02   0.966488E+00  -0.109838E-05   0.226644E-03  -0.109838E-05   0.105219E-06
