#    L    TT             EE             BB             TE          
   241   0.386309E+04   0.178592E+01   0.578343E-04   0.456359E+02
   242   0.384856E+04   0.185056E+01   0.578820E-04   0.468807E+02
   243   0.383359E+04   0.191710E+01   0.579134E-04   0.481143E+02
   244   0.381818E+04   0.198546E+01   0.579278E-04   0.493375E+02
   245   0.380233E+04   0.205572E+01   0.579243E-04   0.505471E+02
   246   0.378611E+04   0.212785E+01   0.579021E-04   0.517449E+02
   247   0.376953E+04   0.220178E+01   0.578606E-04   0.529285E+02
   248   0.375251E+04   0.227787E+01   0.577989E-04   0.540979E+02
   249   0.373521E+04   0.235558E+01   0.577161E-04   0.552524E+02
   250   0.371748E+04   0.243535E+01   0.576116E-04   0.563905E+02
   251   0.369946E+04   0.251687E+01   0.574847E-04   0.575130E+02
   252   0.368095E+04   0.260036E+01   0.573359E-04   0.586187E+02
   253   0.366230E+04   0.268556E+01   0.571658E-04   0.597061E+02
   254   0.364322E+04   0.277277E+01   0.569752E-04   0.607757E+02
   255   0.362379E+04   0.286167E+01   0.567647E-04   0.618275E+02
   256   0.360407E+04   0.295261E+01   0.565349E-04   0.628619E+02
   257   0.358408E+04   0.304513E+01   0.562865E-04   0.638708E+02
   258   0.356373E+04   0.313959E+01   0.560202E-04   0.648672E+02
   259   0.354310E+04   0.323582E+01   0.557367E-04   0.658363E+02
   260   0.352226E+04   0.333381E+01   0.554366E-04   0.667933E+02
   261   0.350107E+04   0.343346E+01   0.551205E-04   0.677162E+02
   262   0.347952E+04   0.353498E+01   0.547892E-04   0.686273E+02
   263   0.345799E+04   0.363814E+01   0.544434E-04   0.695196E+02
   264   0.343603E+04   0.374299E+01   0.540836E-04   0.703858E+02
   265   0.341372E+04   0.384943E+01   0.537106E-04   0.712188E+02
   266   0.339127E+04   0.395769E+01   0.533250E-04   0.720409E+02
   267   0.336847E+04   0.406736E+01   0.529274E-04   0.728302E+02
   268   0.334546E+04   0.417880E+01   0.525187E-04   0.736018E+02
   269   0.332210E+04   0.429171E+01   0.520993E-04   0.743484E+02
   270   0.329868E+04   0.440613E+01   0.516700E-04   0.750703E+02
   271   0.327498E+04   0.452199E+01   0.512315E-04   0.757676E+02
   272   0.325122E+04   0.463955E+01   0.507844E-04   0.764333E+02
   273   0.322718E+04   0.475820E+01   0.503294E-04   0.770823E+02
   274   0.320301E+04   0.487854E+01   0.498671E-04   0.776927E+02
   275   0.317863E+04   0.500001E+01   0.493983E-04   0.782869E+02
   276   0.315419E+04   0.512283E+01   0.489235E-04   0.788428E+02
   277   0.312948E+04   0.524698E+01   0.484435E-04   0.793830E+02
   278   0.310470E+04   0.537237E+01   0.479589E-04   0.798854E+02
   279   0.307980E+04   0.549890E+01   0.474704E-04   0.803577E+02
   280   0.305476E+04   0.562657E+01   0.469786E-04   0.808150E+02
   281   0.302974E+04   0.575543E+01   0.464843E-04   0.812351E+02
   282   0.300444E+04   0.588517E+01   0.459881E-04   0.816258E+02
   283   0.297915E+04   0.601598E+01   0.454906E-04   0.819872E+02
   284   0.295381E+04   0.614780E+01   0.449925E-04   0.823196E+02
   285   0.292841E+04   0.628058E+01   0.444945E-04   0.826233E+02
   286   0.290287E+04   0.641418E+01   0.439972E-04   0.828910E+02
   287   0.287728E+04   0.654858E+01   0.435014E-04   0.831377E+02
   288   0.285171E+04   0.668375E+01   0.430077E-04   0.833489E+02
   289   0.282608E+04   0.681961E+01   0.425167E-04   0.835323E+02
   290   0.280046E+04   0.695599E+01   0.420291E-04   0.836880E+02
   291   0.277486E+04   0.709363E+01   0.415456E-04   0.838014E+02
   292   0.274898E+04   0.723138E+01   0.410669E-04   0.838950E+02
   293   0.272342E+04   0.736887E+01   0.405936E-04   0.839467E+02
   294   0.269772E+04   0.750755E+01   0.401263E-04   0.839792E+02
   295   0.267226E+04   0.764594E+01   0.396659E-04   0.839703E+02
   296   0.264667E+04   0.778549E+01   0.392128E-04   0.839350E+02
   297   0.262117E+04   0.792397E+01   0.387678E-04   0.838737E+02
   298   0.259562E+04   0.806358E+01   0.383316E-04   0.837716E+02
   299   0.257022E+04   0.820356E+01   0.379048E-04   0.836365E+02
   300   0.254485E+04   0.834243E+01   0.374881E-04   0.834686E+02
   301   0.251956E+04   0.848164E+01   0.370820E-04   0.832755E+02
   302   0.249444E+04   0.862046E+01   0.366865E-04   0.830574E+02
   303   0.246940E+04   0.875964E+01   0.363016E-04   0.827999E+02
   304   0.244445E+04   0.889919E+01   0.359270E-04   0.825030E+02
   305   0.241964E+04   0.903763E+01   0.355627E-04   0.821820E+02
   306   0.239492E+04   0.917572E+01   0.352086E-04   0.818296E+02
   307   0.237034E+04   0.931346E+01   0.348645E-04   0.814388E+02
   308   0.234590E+04   0.945235E+01   0.345303E-04   0.810319E+02
   309   0.232168E+04   0.958942E+01   0.342058E-04   0.805796E+02
   310   0.229752E+04   0.972542E+01   0.338911E-04   0.801044E+02
   311   0.227357E+04   0.986260E+01   0.335859E-04   0.795918E+02
   312   0.224983E+04   0.999799E+01   0.332901E-04   0.790567E+02
   313   0.222622E+04   0.101331E+02   0.330036E-04   0.784846E+02
   314   0.220280E+04   0.102679E+02   0.327263E-04   0.778906E+02
   315   0.217959E+04   0.104009E+02   0.324581E-04   0.772602E+02
   316   0.215656E+04   0.105337E+02   0.321988E-04   0.766009E+02
   317   0.213373E+04   0.106647E+02   0.319483E-04   0.759131E+02
   318   0.211109E+04   0.107963E+02   0.317065E-04   0.751970E+02
   319   0.208870E+04   0.109260E+02   0.314733E-04   0.744529E+02
   320   0.206657E+04   0.110549E+02   0.312486E-04   0.736883E+02
   321   0.204462E+04   0.111834E+02   0.310322E-04   0.728889E+02
   322   0.202292E+04   0.113096E+02   0.308240E-04   0.720621E+02
   323   0.200147E+04   0.114348E+02   0.306240E-04   0.712083E+02
   324   0.198026E+04   0.115597E+02   0.304319E-04   0.703203E+02
   325   0.195937E+04   0.116808E+02   0.302476E-04   0.694206E+02
   326   0.193864E+04   0.118025E+02   0.300711E-04   0.684798E+02
   327   0.191822E+04   0.119224E+02   0.299022E-04   0.675204E+02
   328   0.189810E+04   0.120400E+02   0.297408E-04   0.665427E+02
   329   0.187822E+04   0.121567E+02   0.295868E-04   0.655321E+02
   330   0.185863E+04   0.122710E+02   0.294400E-04   0.644962E+02
   331   0.183942E+04   0.123837E+02   0.293003E-04   0.634427E+02
   332   0.182042E+04   0.124955E+02   0.291677E-04   0.623719E+02
   333   0.180172E+04   0.126050E+02   0.290420E-04   0.612766E+02
   334   0.178337E+04   0.127128E+02   0.289230E-04   0.601570E+02
   335   0.176524E+04   0.128176E+02   0.288107E-04   0.590135E+02
   336   0.174747E+04   0.129208E+02   0.287049E-04   0.578537E+02
   337   0.173005E+04   0.130224E+02   0.286055E-04   0.566629E+02
   338   0.171290E+04   0.131210E+02   0.285124E-04   0.554638E+02
   339   0.169617E+04   0.132187E+02   0.284254E-04   0.542417E+02
   340   0.167972E+04   0.133134E+02   0.283445E-04   0.530118E+02
   341   0.166353E+04   0.134051E+02   0.282696E-04   0.517519E+02
   342   0.164775E+04   0.134960E+02   0.282004E-04   0.504773E+02
   343   0.163231E+04   0.135832E+02   0.281369E-04   0.491881E+02
   344   0.161728E+04   0.136681E+02   0.280790E-04   0.478847E+02
   345   0.160250E+04   0.137500E+02   0.280265E-04   0.465673E+02
   346   0.158811E+04   0.138304E+02   0.279794E-04   0.452435E+02
   347   0.157406E+04   0.139071E+02   0.279374E-04   0.438987E+02
   348   0.156039E+04   0.139809E+02   0.279005E-04   0.425407E+02
   349   0.154705E+04   0.140524E+02   0.278686E-04   0.411697E+02
   350   0.153409E+04   0.141202E+02   0.278416E-04   0.397933E+02
   351   0.152166E+04   0.141858E+02   0.278192E-04   0.384044E+02
   352   0.150939E+04   0.142486E+02   0.278013E-04   0.370030E+02
   353   0.149758E+04   0.143077E+02   0.277877E-04   0.356037E+02
   354   0.148606E+04   0.143641E+02   0.277781E-04   0.341843E+02
   355   0.147499E+04   0.144177E+02   0.277723E-04   0.327594E+02
   356   0.146428E+04   0.144685E+02   0.277701E-04   0.313366E+02
   357   0.145394E+04   0.145160E+02   0.277712E-04   0.299008E+02
   358   0.144403E+04   0.145593E+02   0.277754E-04   0.284667E+02
   359   0.143440E+04   0.146001E+02   0.277825E-04   0.270196E+02
   360   0.142519E+04   0.146383E+02   0.277923E-04   0.255704E+02
   361   0.141633E+04   0.146733E+02   0.278045E-04   0.241146E+02
   362   0.140790E+04   0.147051E+02   0.278189E-04   0.226552E+02
   363   0.139980E+04   0.147345E+02   0.278352E-04   0.211942E+02
   364   0.139211E+04   0.147593E+02   0.278533E-04   0.197278E+02
   365   0.138475E+04   0.147818E+02   0.278730E-04   0.182620E+02
   366   0.137780E+04   0.148012E+02   0.278938E-04   0.167936E+02
   367   0.137125E+04   0.148163E+02   0.279158E-04   0.153249E+02
   368   0.136494E+04   0.148291E+02   0.279385E-04   0.138572E+02
   369   0.135918E+04   0.148390E+02   0.279619E-04   0.123883E+02
   370   0.135372E+04   0.148454E+02   0.279856E-04   0.109232E+02
   371   0.134858E+04   0.148483E+02   0.280095E-04   0.945815E+01
   372   0.134382E+04   0.148484E+02   0.280332E-04   0.799757E+01
   373   0.133944E+04   0.148450E+02   0.280566E-04   0.653838E+01
   374   0.133543E+04   0.148390E+02   0.280795E-04   0.508421E+01
   375   0.133171E+04   0.148296E+02   0.281016E-04   0.363501E+01
   376   0.132844E+04   0.148177E+02   0.281227E-04   0.219067E+01
   377   0.132552E+04   0.148018E+02   0.281425E-04   0.754112E+00
   378   0.132290E+04   0.147826E+02   0.281609E-04  -0.677729E+00
   379   0.132062E+04   0.147610E+02   0.281775E-04  -0.210047E+01
   380   0.131877E+04   0.147370E+02   0.281923E-04  -0.351641E+01
   381   0.131719E+04   0.147070E+02   0.282049E-04  -0.492267E+01
   382   0.131589E+04   0.146761E+02   0.282151E-04  -0.631857E+01
   383   0.131499E+04   0.146415E+02   0.282226E-04  -0.770569E+01
   384   0.131451E+04   0.146032E+02   0.282274E-04  -0.908037E+01
   385   0.131421E+04   0.145635E+02   0.282290E-04  -0.104442E+02
   386   0.131431E+04   0.145201E+02   0.282274E-04  -0.117950E+02
   387   0.131466E+04   0.144732E+02   0.282222E-04  -0.131329E+02
   388   0.131534E+04   0.144235E+02   0.282132E-04  -0.144564E+02
   389   0.131633E+04   0.143689E+02   0.282003E-04  -0.157656E+02
   390   0.131763E+04   0.143146E+02   0.281831E-04  -0.170585E+02
   391   0.131925E+04   0.142561E+02   0.281615E-04  -0.183364E+02
   392   0.132110E+04   0.141965E+02   0.281352E-04  -0.195967E+02
   393   0.132332E+04   0.141328E+02   0.281040E-04  -0.208399E+02
   394   0.132576E+04   0.140667E+02   0.280677E-04  -0.220642E+02
