#    L    TT             EE             BB             TE          
   338   0.171957E+04   0.130555E+02   0.225935E-01   0.547292E+02
   339   0.170307E+04   0.131516E+02   0.226655E-01   0.535184E+02
   340   0.168684E+04   0.132446E+02   0.227375E-01   0.523001E+02
   341   0.167087E+04   0.133346E+02   0.228096E-01   0.510525E+02
   342   0.165531E+04   0.134238E+02   0.228818E-01   0.497905E+02
   343   0.164009E+04   0.135093E+02   0.229540E-01   0.485145E+02
   344   0.162527E+04   0.135926E+02   0.230264E-01   0.472247E+02
   345   0.161070E+04   0.136729E+02   0.230989E-01   0.459213E+02
   346   0.159652E+04   0.137517E+02   0.231716E-01   0.446120E+02
   347   0.158267E+04   0.138269E+02   0.232444E-01   0.432822E+02
   348   0.156921E+04   0.138991E+02   0.233175E-01   0.419396E+02
   349   0.155606E+04   0.139691E+02   0.233909E-01   0.405844E+02
   350   0.154329E+04   0.140354E+02   0.234644E-01   0.392244E+02
   351   0.153105E+04   0.140996E+02   0.235383E-01   0.378522E+02
   352   0.151897E+04   0.141609E+02   0.236125E-01   0.364678E+02
   353   0.150734E+04   0.142187E+02   0.236870E-01   0.350861E+02
   354   0.149600E+04   0.142737E+02   0.237619E-01   0.336846E+02
   355   0.148510E+04   0.143260E+02   0.238372E-01   0.322781E+02
   356   0.147456E+04   0.143756E+02   0.239129E-01   0.308740E+02
   357   0.146438E+04   0.144218E+02   0.239890E-01   0.294573E+02
   358   0.145463E+04   0.144639E+02   0.240656E-01   0.280428E+02
   359   0.144515E+04   0.145036E+02   0.241426E-01   0.266155E+02
   360   0.143610E+04   0.145407E+02   0.242201E-01   0.251866E+02
   361   0.142739E+04   0.145746E+02   0.242982E-01   0.237514E+02
   362   0.141909E+04   0.146054E+02   0.243767E-01   0.223128E+02
   363   0.141112E+04   0.146338E+02   0.244559E-01   0.208730E+02
   364   0.140356E+04   0.146577E+02   0.245356E-01   0.194282E+02
   365   0.139633E+04   0.146793E+02   0.246159E-01   0.179842E+02
   366   0.138949E+04   0.146980E+02   0.246968E-01   0.165380E+02
   367   0.138305E+04   0.147123E+02   0.247783E-01   0.150917E+02
   368   0.137685E+04   0.147244E+02   0.248605E-01   0.136468E+02
