#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   118   0.253509E+04  -0.299102E+02   0.250164E-03  -0.299102E+02   0.970439E+00  -0.115341E-05   0.250164E-03  -0.115341E-05   0.106971E-06
   119   0.256128E+04  -0.303986E+02   0.247445E-03  -0.303986E+02   0.978185E+00  -0.115084E-05   0.247445E-03  -0.115084E-05   0.106196E-06
   120   0.258764E+04  -0.308767E+02   0.244774E-03  -0.308767E+02   0.985360E+00  -0.114968E-05   0.244774E-03  -0.114968E-05   0.105427E-06
   121   0.261399E+04  -0.313443E+02   0.242149E-03  -0.313443E+02   0.992265E+00  -0.114961E-05   0.242149E-03  -0.114961E-05   0.104662E-06
   122   0.264044E+04  -0.318009E+02   0.239570E-03  -0.318009E+02   0.998601E+00  -0.115029E-05   0.239570E-03  -0.115029E-05   0.103902E-06
   123   0.266696E+04  -0.322463E+02   0.237033E-03  -0.322463E+02   0.100444E+01  -0.115136E-05   0.237033E-03  -0.115136E-05   0.103148E-06
   124   0.269357E+04  -0.326777E+02   0.234538E-03  -0.326777E+02   0.100987E+01  -0.115248E-05   0.234538E-03  -0.115248E-05   0.102399E-06
   125   0.272019E+04  -0.330973E+02   0.232083E-03  -0.330973E+02   0.101481E+01  -0.115333E-05   0.232083E-03  -0.115333E-05   0.101654E-06
   126   0.274690E+04  -0.335043E+02   0.229666E-03  -0.335043E+02   0.101933E+01  -0.115354E-05   0.229666E-03  -0.115354E-05   0.100915E-06
   127   0.277363E+04  -0.338980E+02   0.227286E-03  -0.338980E+02   0.102329E+01  -0.115278E-05   0.227286E-03  -0.115278E-05   0.100181E-06
   128   0.280037E+04  -0.342777E+02   0.224940E-03  -0.342777E+02   0.102683E+01  -0.115071E-05   0.224940E-03  -0.115071E-05   0.994519E-07
   129   0.282720E+04  -0.346426E+02   0.222628E-03  -0.346426E+02   0.102982E+01  -0.114699E-05   0.222628E-03  -0.114699E-05   0.987281E-07
   130   0.285406E+04  -0.349921E+02   0.220347E-03  -0.349921E+02   0.103225E+01  -0.114126E-05   0.220347E-03  -0.114126E-05   0.980096E-07
   131   0.288093E+04  -0.353276E+02   0.218097E-03  -0.353276E+02   0.103426E+01  -0.113328E-05   0.218097E-03  -0.113328E-05   0.972962E-07
   132   0.290790E+04  -0.356462E+02   0.215876E-03  -0.356462E+02   0.103573E+01  -0.112313E-05   0.215876E-03  -0.112313E-05   0.965880E-07
   133   0.293481E+04  -0.359503E+02   0.213684E-03  -0.359503E+02   0.103672E+01  -0.111097E-05   0.213684E-03  -0.111097E-05   0.958851E-07
   134   0.296175E+04  -0.362354E+02   0.211522E-03  -0.362354E+02   0.103723E+01  -0.109697E-05   0.211522E-03  -0.109697E-05   0.951872E-07
   135   0.298870E+04  -0.365046E+02   0.209388E-03  -0.365046E+02   0.103720E+01  -0.108130E-05   0.209388E-03  -0.108130E-05   0.944946E-07
   136   0.301552E+04  -0.367543E+02   0.207283E-03  -0.367543E+02   0.103663E+01  -0.106412E-05   0.207283E-03  -0.106412E-05   0.938070E-07
   137   0.304235E+04  -0.369869E+02   0.205207E-03  -0.369869E+02   0.103561E+01  -0.104561E-05   0.205207E-03  -0.104561E-05   0.931245E-07
   138   0.306913E+04  -0.372008E+02   0.203158E-03  -0.372008E+02   0.103404E+01  -0.102592E-05   0.203158E-03  -0.102592E-05   0.924471E-07
   139   0.309570E+04  -0.373954E+02   0.201137E-03  -0.373954E+02   0.103210E+01  -0.100524E-05   0.201137E-03  -0.100524E-05   0.917748E-07
   140   0.312235E+04  -0.375716E+02   0.199143E-03  -0.375716E+02   0.102957E+01  -0.983720E-06   0.199143E-03  -0.983720E-06   0.911075E-07
   141   0.314880E+04  -0.377272E+02   0.197177E-03  -0.377272E+02   0.102651E+01  -0.961532E-06   0.197177E-03  -0.961532E-06   0.904452E-07
   142   0.317526E+04  -0.378630E+02   0.195238E-03  -0.378630E+02   0.102300E+01  -0.938844E-06   0.195238E-03  -0.938844E-06   0.897880E-07
   143   0.320166E+04  -0.379791E+02   0.193325E-03  -0.379791E+02   0.101906E+01  -0.915823E-06   0.193325E-03  -0.915823E-06   0.891357E-07
   144   0.322784E+04  -0.380749E+02   0.191438E-03  -0.380749E+02   0.101461E+01  -0.892635E-06   0.191438E-03  -0.892635E-06   0.884883E-07
   145   0.325389E+04  -0.381497E+02   0.189578E-03  -0.381497E+02   0.100980E+01  -0.869449E-06   0.189578E-03  -0.869449E-06   0.878459E-07
   146   0.328002E+04  -0.382036E+02   0.187743E-03  -0.382036E+02   0.100442E+01  -0.846432E-06   0.187743E-03  -0.846432E-06   0.872084E-07
   147   0.330578E+04  -0.382351E+02   0.185934E-03  -0.382351E+02   0.998688E+00  -0.823751E-06   0.185934E-03  -0.823751E-06   0.865758E-07
   148   0.333141E+04  -0.382459E+02   0.184150E-03  -0.382459E+02   0.992460E+00  -0.801574E-06   0.184150E-03  -0.801574E-06   0.859480E-07
   149   0.335697E+04  -0.382345E+02   0.182391E-03  -0.382345E+02   0.985816E+00  -0.780067E-06   0.182391E-03  -0.780067E-06   0.853251E-07
   150   0.338223E+04  -0.381988E+02   0.180657E-03  -0.381988E+02   0.978833E+00  -0.759398E-06   0.180657E-03  -0.759398E-06   0.847071E-07
   151   0.340736E+04  -0.381419E+02   0.178947E-03  -0.381419E+02   0.971442E+00  -0.739701E-06   0.178947E-03  -0.739701E-06   0.840938E-07
   152   0.343219E+04  -0.380623E+02   0.177261E-03  -0.380623E+02   0.963572E+00  -0.720974E-06   0.177261E-03  -0.720974E-06   0.834854E-07
   153   0.345688E+04  -0.379578E+02   0.175599E-03  -0.379578E+02   0.955374E+00  -0.703184E-06   0.175599E-03  -0.703184E-06   0.828817E-07
   154   0.348135E+04  -0.378309E+02   0.173959E-03  -0.378309E+02   0.946854E+00  -0.686294E-06   0.173959E-03  -0.686294E-06   0.822827E-07
   155   0.350560E+04  -0.376807E+02   0.172342E-03  -0.376807E+02   0.938015E+00  -0.670272E-06   0.172342E-03  -0.670272E-06   0.816885E-07
   156   0.352949E+04  -0.375073E+02   0.170746E-03  -0.375073E+02   0.928861E+00  -0.655080E-06   0.170746E-03  -0.655080E-06   0.810989E-07
   157   0.355330E+04  -0.373095E+02   0.169172E-03  -0.373095E+02   0.919396E+00  -0.640686E-06   0.169172E-03  -0.640686E-06   0.805140E-07
   158   0.357682E+04  -0.370878E+02   0.167618E-03  -0.370878E+02   0.909698E+00  -0.627055E-06   0.167618E-03  -0.627055E-06   0.799338E-07
   159   0.360005E+04  -0.368425E+02   0.166085E-03  -0.368425E+02   0.899622E+00  -0.614151E-06   0.166085E-03  -0.614151E-06   0.793582E-07
   160   0.362306E+04  -0.365721E+02   0.164571E-03  -0.365721E+02   0.889322E+00  -0.601940E-06   0.164571E-03  -0.601940E-06   0.787872E-07
   161   0.364585E+04  -0.362782E+02   0.163076E-03  -0.362782E+02   0.878875E+00  -0.590387E-06   0.163076E-03  -0.590387E-06   0.782207E-07
   162   0.366834E+04  -0.359607E+02   0.161601E-03  -0.359607E+02   0.868136E+00  -0.579458E-06   0.161601E-03  -0.579458E-06   0.776588E-07
   163   0.369069E+04  -0.356184E+02   0.160143E-03  -0.356184E+02   0.857184E+00  -0.569117E-06   0.160143E-03  -0.569117E-06   0.771014E-07
   164   0.371260E+04  -0.352528E+02   0.158703E-03  -0.352528E+02   0.846097E+00  -0.559331E-06   0.158703E-03  -0.559331E-06   0.765485E-07
   165   0.373436E+04  -0.348617E+02   0.157280E-03  -0.348617E+02   0.834805E+00  -0.550064E-06   0.157280E-03  -0.550064E-06   0.760001E-07
   166   0.375583E+04  -0.344466E+02   0.155873E-03  -0.344466E+02   0.823460E+00  -0.541282E-06   0.155873E-03  -0.541282E-06   0.754562E-07
   167   0.377707E+04  -0.340084E+02   0.154483E-03  -0.340084E+02   0.811843E+00  -0.532950E-06   0.154483E-03  -0.532950E-06   0.749167E-07
   168   0.379787E+04  -0.335449E+02   0.153108E-03  -0.335449E+02   0.800330E+00  -0.525033E-06   0.153108E-03  -0.525033E-06   0.743815E-07
   169   0.381838E+04  -0.330561E+02   0.151748E-03  -0.330561E+02   0.788627E+00  -0.517497E-06   0.151748E-03  -0.517497E-06   0.738508E-07
   170   0.383859E+04  -0.325437E+02   0.150402E-03  -0.325437E+02   0.776961E+00  -0.510306E-06   0.150402E-03  -0.510306E-06   0.733244E-07
   171   0.385836E+04  -0.320055E+02   0.149071E-03  -0.320055E+02   0.765337E+00  -0.503427E-06   0.149071E-03  -0.503427E-06   0.728024E-07
   172   0.387775E+04  -0.314430E+02   0.147752E-03  -0.314430E+02   0.753683E+00  -0.496824E-06   0.147752E-03  -0.496824E-06   0.722846E-07
   173   0.389670E+04  -0.308563E+02   0.146447E-03  -0.308563E+02   0.742003E+00  -0.490463E-06   0.146447E-03  -0.490463E-06   0.717711E-07
   174   0.391536E+04  -0.302455E+02   0.145154E-03  -0.302455E+02   0.730600E+00  -0.484309E-06   0.145154E-03  -0.484309E-06   0.712619E-07
   175   0.393364E+04  -0.296099E+02   0.143873E-03  -0.296099E+02   0.719179E+00  -0.478327E-06   0.143873E-03  -0.478327E-06   0.707570E-07
   176   0.395141E+04  -0.289495E+02   0.142604E-03  -0.289495E+02   0.707967E+00  -0.472485E-06   0.142604E-03  -0.472485E-06   0.702562E-07
   177   0.396880E+04  -0.282660E+02   0.141345E-03  -0.282660E+02   0.696894E+00  -0.466761E-06   0.141345E-03  -0.466761E-06   0.697596E-07
