#    L    TT             EE             BB             TE          
   199   0.423228E+04   0.583924E+00   0.888530E-02  -0.750789E+01
   200   0.423890E+04   0.586898E+00   0.898930E-02  -0.635622E+01
   201   0.424496E+04   0.590934E+00   0.909381E-02  -0.518858E+01
   202   0.425055E+04   0.596033E+00   0.919882E-02  -0.400650E+01
   203   0.425559E+04   0.602244E+00   0.930432E-02  -0.280926E+01
   204   0.426001E+04   0.609580E+00   0.941029E-02  -0.159986E+01
   205   0.426396E+04   0.618077E+00   0.951672E-02  -0.376116E+00
   206   0.426729E+04   0.627763E+00   0.962361E-02   0.860689E+00
   207   0.427016E+04   0.638649E+00   0.973093E-02   0.211008E+01
   208   0.427234E+04   0.650780E+00   0.983867E-02   0.337150E+01
   209   0.427399E+04   0.664168E+00   0.994682E-02   0.464456E+01
   210   0.427511E+04   0.678855E+00   0.100554E-01   0.592833E+01
   211   0.427569E+04   0.694863E+00   0.101643E-01   0.722272E+01
   212   0.427560E+04   0.712210E+00   0.102736E-01   0.852678E+01
   213   0.427505E+04   0.730933E+00   0.103832E-01   0.984051E+01
   214   0.427390E+04   0.751015E+00   0.104932E-01   0.111627E+02
   215   0.427224E+04   0.772639E+00   0.106035E-01   0.124925E+02
   216   0.426998E+04   0.795610E+00   0.107142E-01   0.138305E+02
   217   0.426727E+04   0.820074E+00   0.108251E-01   0.151747E+02
   218   0.426397E+04   0.846023E+00   0.109363E-01   0.165251E+02
   219   0.426017E+04   0.873447E+00   0.110477E-01   0.178829E+02
   220   0.425584E+04   0.902484E+00   0.111595E-01   0.192434E+02
   221   0.425101E+04   0.933052E+00   0.112714E-01   0.206088E+02
   222   0.424568E+04   0.965288E+00   0.113835E-01   0.219778E+02
   223   0.423969E+04   0.999111E+00   0.114959E-01   0.233509E+02
   224   0.423334E+04   0.103451E+01   0.116084E-01   0.247245E+02
   225   0.422642E+04   0.107162E+01   0.117211E-01   0.261015E+02
   226   0.421900E+04   0.111044E+01   0.118339E-01   0.274781E+02
   227   0.421101E+04   0.115095E+01   0.119469E-01   0.288558E+02
   228   0.420260E+04   0.119316E+01   0.120599E-01   0.302331E+02
   229   0.419370E+04   0.123711E+01   0.121731E-01   0.316085E+02
   230   0.418424E+04   0.128280E+01   0.122863E-01   0.329827E+02
   231   0.417421E+04   0.133030E+01   0.123995E-01   0.343549E+02
   232   0.416377E+04   0.137952E+01   0.125128E-01   0.357236E+02
   233   0.415285E+04   0.143068E+01   0.126261E-01   0.370874E+02
   234   0.414130E+04   0.148362E+01   0.127394E-01   0.384469E+02
   235   0.412934E+04   0.153840E+01   0.128526E-01   0.398006E+02
   236   0.411683E+04   0.159501E+01   0.129658E-01   0.411484E+02
   237   0.410385E+04   0.165352E+01   0.130788E-01   0.424890E+02
   238   0.409039E+04   0.171399E+01   0.131918E-01   0.438222E+02
   239   0.407654E+04   0.177626E+01   0.133047E-01   0.451474E+02
   240   0.406207E+04   0.184041E+01   0.134174E-01   0.464621E+02
   241   0.404728E+04   0.190656E+01   0.135299E-01   0.477672E+02
   242   0.403203E+04   0.197457E+01   0.136423E-01   0.490619E+02
   243   0.401632E+04   0.204456E+01   0.137544E-01   0.503447E+02
   244   0.400015E+04   0.211645E+01   0.138664E-01   0.516163E+02
   245   0.398352E+04   0.219032E+01   0.139780E-01   0.528738E+02
   246   0.396651E+04   0.226615E+01   0.140894E-01   0.541184E+02
   247   0.394912E+04   0.234385E+01   0.142005E-01   0.553481E+02
   248   0.393128E+04   0.242379E+01   0.143113E-01   0.565629E+02
   249   0.391314E+04   0.250544E+01   0.144217E-01   0.577618E+02
   250   0.389455E+04   0.258924E+01   0.145318E-01   0.589435E+02
   251   0.387567E+04   0.267487E+01   0.146415E-01   0.601086E+02
   252   0.385626E+04   0.276255E+01   0.147508E-01   0.612559E+02
   253   0.383671E+04   0.285202E+01   0.148597E-01   0.623842E+02
   254   0.381672E+04   0.294358E+01   0.149682E-01   0.634935E+02
   255   0.379636E+04   0.303690E+01   0.150762E-01   0.645842E+02
   256   0.377571E+04   0.313233E+01   0.151838E-01   0.656564E+02
   257   0.375476E+04   0.322942E+01   0.152909E-01   0.667023E+02
   258   0.373345E+04   0.332851E+01   0.153975E-01   0.677345E+02
   259   0.371184E+04   0.342944E+01   0.155036E-01   0.687386E+02
   260   0.369002E+04   0.353218E+01   0.156092E-01   0.697295E+02
   261   0.366783E+04   0.363666E+01   0.157143E-01   0.706851E+02
   262   0.364528E+04   0.374306E+01   0.158188E-01   0.716281E+02
   263   0.362274E+04   0.385115E+01   0.159228E-01   0.725512E+02
   264   0.359975E+04   0.396098E+01   0.160263E-01   0.734471E+02
