#    L    TT             EE             TE             PP             TP          
   184   0.407865E+04   0.627226E+00  -0.228210E+02   0.306561E+07   0.225659E+04
   185   0.409263E+04   0.618810E+00  -0.219537E+02   0.304435E+07   0.223682E+04
   186   0.410580E+04   0.610798E+00  -0.210630E+02   0.302326E+07   0.221724E+04
   187   0.411885E+04   0.603334E+00  -0.201505E+02   0.300235E+07   0.219783E+04
   188   0.413140E+04   0.596407E+00  -0.192179E+02   0.298160E+07   0.217861E+04
   189   0.414337E+04   0.590057E+00  -0.182638E+02   0.296103E+07   0.215956E+04
   190   0.415522E+04   0.584342E+00  -0.172905E+02   0.294062E+07   0.214070E+04
   191   0.416620E+04   0.579285E+00  -0.162953E+02   0.292039E+07   0.212202E+04
   192   0.417683E+04   0.574915E+00  -0.152804E+02   0.290031E+07   0.210351E+04
   193   0.418690E+04   0.571279E+00  -0.142476E+02   0.288041E+07   0.208518E+04
   194   0.419663E+04   0.568411E+00  -0.131947E+02   0.286066E+07   0.206703E+04
   195   0.420579E+04   0.566351E+00  -0.121241E+02   0.284108E+07   0.204906E+04
   196   0.421439E+04   0.565140E+00  -0.110351E+02   0.282165E+07   0.203126E+04
   197   0.422258E+04   0.564827E+00  -0.992944E+01   0.280239E+07   0.201364E+04
   198   0.423029E+04   0.565438E+00  -0.880647E+01   0.278328E+07   0.199620E+04
   199   0.423751E+04   0.567014E+00  -0.766707E+01   0.276432E+07   0.197892E+04
   200   0.424425E+04   0.569589E+00  -0.651211E+01   0.274552E+07   0.196182E+04
   201   0.425044E+04   0.573222E+00  -0.534097E+01   0.272687E+07   0.194490E+04
   202   0.425616E+04   0.577916E+00  -0.415517E+01   0.270838E+07   0.192814E+04
   203   0.426132E+04   0.583720E+00  -0.295402E+01   0.269003E+07   0.191156E+04
   204   0.426586E+04   0.590648E+00  -0.174050E+01   0.267184E+07   0.189514E+04
   205   0.426993E+04   0.598735E+00  -0.512412E+00   0.265379E+07   0.187888E+04
   206   0.427338E+04   0.608009E+00   0.728945E+00   0.263588E+07   0.186279E+04
