#    L    TT             EE             BB             TE             PP             TP             EP          
   159   0.360007E+04   0.899864E+00   0.106249E-03  -0.368425E+02   0.793583E-07   0.166085E-03  -0.614247E-06
   160   0.362308E+04   0.889558E+00   0.103834E-03  -0.365720E+02   0.787873E-07   0.164571E-03  -0.602037E-06
   161   0.364587E+04   0.879105E+00   0.101497E-03  -0.362780E+02   0.782208E-07   0.163077E-03  -0.590483E-06
   162   0.366837E+04   0.868361E+00   0.992353E-04  -0.359605E+02   0.776590E-07   0.161601E-03  -0.579552E-06
   163   0.369072E+04   0.857403E+00   0.970508E-04  -0.356181E+02   0.771016E-07   0.160143E-03  -0.569208E-06
   164   0.371262E+04   0.846311E+00   0.949430E-04  -0.352524E+02   0.765487E-07   0.158703E-03  -0.559417E-06
   165   0.373439E+04   0.835013E+00   0.929123E-04  -0.348612E+02   0.760003E-07   0.157280E-03  -0.550144E-06
   166   0.375585E+04   0.823663E+00   0.909586E-04  -0.344461E+02   0.754563E-07   0.155874E-03  -0.541355E-06
   167   0.377710E+04   0.812041E+00   0.890821E-04  -0.340078E+02   0.749168E-07   0.154483E-03  -0.533015E-06
   168   0.379790E+04   0.800522E+00   0.872831E-04  -0.335443E+02   0.743816E-07   0.153108E-03  -0.525090E-06
   169   0.381841E+04   0.788814E+00   0.855615E-04  -0.330555E+02   0.738509E-07   0.151748E-03  -0.517545E-06
   170   0.383862E+04   0.777144E+00   0.839175E-04  -0.325431E+02   0.733245E-07   0.150402E-03  -0.510346E-06
   171   0.385838E+04   0.765514E+00   0.823513E-04  -0.320048E+02   0.728024E-07   0.149071E-03  -0.503458E-06
   172   0.387778E+04   0.753855E+00   0.808629E-04  -0.314423E+02   0.722847E-07   0.147753E-03  -0.496846E-06
   173   0.389673E+04   0.742171E+00   0.794526E-04  -0.308556E+02   0.717712E-07   0.146447E-03  -0.490477E-06
   174   0.391539E+04   0.730763E+00   0.781205E-04  -0.302448E+02   0.712619E-07   0.145154E-03  -0.484315E-06
   175   0.393367E+04   0.719338E+00   0.768666E-04  -0.296091E+02   0.707570E-07   0.143873E-03  -0.478327E-06
   176   0.395144E+04   0.708121E+00   0.756907E-04  -0.289487E+02   0.702562E-07   0.142604E-03  -0.472480E-06
   177   0.396883E+04   0.697044E+00   0.745910E-04  -0.282652E+02   0.697596E-07   0.141345E-03  -0.466751E-06
   178   0.398579E+04   0.686332E+00   0.735651E-04  -0.275573E+02   0.692672E-07   0.140098E-03  -0.461119E-06
   179   0.400230E+04   0.675693E+00   0.726108E-04  -0.268249E+02   0.687789E-07   0.138862E-03  -0.455564E-06
   180   0.401852E+04   0.665352E+00   0.717257E-04  -0.260699E+02   0.682946E-07   0.137637E-03  -0.450064E-06
   181   0.403423E+04   0.655314E+00   0.709077E-04  -0.252923E+02   0.678144E-07   0.136424E-03  -0.444600E-06
   182   0.404951E+04   0.645657E+00   0.701544E-04  -0.244908E+02   0.673382E-07   0.135221E-03  -0.439150E-06
