#    L    TT             EE             BB             TE          
   239   0.407651E+04   0.177616E+01   0.132320E-01   0.451480E+02
   240   0.406204E+04   0.184030E+01   0.133446E-01   0.464628E+02
   241   0.404725E+04   0.190646E+01   0.134571E-01   0.477679E+02
   242   0.403201E+04   0.197446E+01   0.135694E-01   0.490627E+02
   243   0.401629E+04   0.204445E+01   0.136815E-01   0.503455E+02
   244   0.400012E+04   0.211634E+01   0.137934E-01   0.516171E+02
   245   0.398349E+04   0.219021E+01   0.139050E-01   0.528745E+02
   246   0.396648E+04   0.226604E+01   0.140164E-01   0.541192E+02
   247   0.394909E+04   0.234374E+01   0.141276E-01   0.553489E+02
   248   0.393125E+04   0.242368E+01   0.142384E-01   0.565636E+02
   249   0.391311E+04   0.250533E+01   0.143490E-01   0.577625E+02
   250   0.389453E+04   0.258912E+01   0.144592E-01   0.589442E+02
   251   0.387564E+04   0.267476E+01   0.145690E-01   0.601093E+02
   252   0.385624E+04   0.276243E+01   0.146785E-01   0.612567E+02
   253   0.383669E+04   0.285191E+01   0.147877E-01   0.623849E+02
   254   0.381670E+04   0.294346E+01   0.148964E-01   0.634942E+02
   255   0.379634E+04   0.303678E+01   0.150047E-01   0.645849E+02
   256   0.377569E+04   0.313221E+01   0.151125E-01   0.656571E+02
   257   0.375474E+04   0.322930E+01   0.152199E-01   0.667029E+02
   258   0.373343E+04   0.332839E+01   0.153269E-01   0.677352E+02
   259   0.371182E+04   0.342932E+01   0.154334E-01   0.687392E+02
   260   0.369000E+04   0.353206E+01   0.155393E-01   0.697301E+02
   261   0.366782E+04   0.363654E+01   0.156448E-01   0.706858E+02
   262   0.364526E+04   0.374294E+01   0.157498E-01   0.716287E+02
   263   0.362272E+04   0.385103E+01   0.158542E-01   0.725518E+02
   264   0.359974E+04   0.396086E+01   0.159581E-01   0.734477E+02
   265   0.357639E+04   0.407235E+01   0.160615E-01   0.743092E+02
   266   0.355291E+04   0.418569E+01   0.161643E-01   0.751589E+02
   267   0.352906E+04   0.430049E+01   0.162665E-01   0.759747E+02
   268   0.350500E+04   0.441712E+01   0.163681E-01   0.767716E+02
   269   0.348058E+04   0.453524E+01   0.164692E-01   0.775425E+02
