#    L    TT             EE             BB             TE          
   225   0.423442E+04   0.104446E+01   0.699366E-04   0.260967E+02
   226   0.422708E+04   0.108293E+01   0.701890E-04   0.274821E+02
   227   0.421916E+04   0.112311E+01   0.704369E-04   0.288688E+02
   228   0.421082E+04   0.116498E+01   0.706792E-04   0.302552E+02
   229   0.420198E+04   0.120861E+01   0.709150E-04   0.316400E+02
   230   0.419258E+04   0.125400E+01   0.711432E-04   0.330238E+02
   231   0.418261E+04   0.130120E+01   0.713629E-04   0.344058E+02
   232   0.417222E+04   0.135013E+01   0.715731E-04   0.357845E+02
   233   0.416135E+04   0.140101E+01   0.717727E-04   0.371583E+02
   234   0.414985E+04   0.145368E+01   0.719608E-04   0.385281E+02
   235   0.413794E+04   0.150821E+01   0.721364E-04   0.398923E+02
   236   0.412547E+04   0.156458E+01   0.722985E-04   0.412508E+02
   237   0.411253E+04   0.162286E+01   0.724460E-04   0.426022E+02
   238   0.409910E+04   0.168312E+01   0.725781E-04   0.439464E+02
   239   0.408528E+04   0.174520E+01   0.726936E-04   0.452827E+02
   240   0.407084E+04   0.180916E+01   0.727917E-04   0.466087E+02
   241   0.405608E+04   0.187515E+01   0.728712E-04   0.479253E+02
   242   0.404084E+04   0.194300E+01   0.729313E-04   0.492315E+02
   243   0.402515E+04   0.201286E+01   0.729709E-04   0.505260E+02
   244   0.400898E+04   0.208464E+01   0.729889E-04   0.518095E+02
   245   0.399236E+04   0.215841E+01   0.729846E-04   0.530789E+02
   246   0.397535E+04   0.223416E+01   0.729567E-04   0.543356E+02
   247   0.395796E+04   0.231181E+01   0.729044E-04   0.555775E+02
   248   0.394011E+04   0.239171E+01   0.728266E-04   0.568045E+02
   249   0.392196E+04   0.247334E+01   0.727223E-04   0.580158E+02
   250   0.390336E+04   0.255713E+01   0.725906E-04   0.592100E+02
   251   0.388445E+04   0.264279E+01   0.724307E-04   0.603877E+02
   252   0.386503E+04   0.273051E+01   0.722432E-04   0.615477E+02
   253   0.384545E+04   0.282005E+01   0.720290E-04   0.626886E+02
   254   0.382542E+04   0.291169E+01   0.717888E-04   0.638108E+02
   255   0.380502E+04   0.300512E+01   0.715235E-04   0.649143E+02
   256   0.378433E+04   0.310069E+01   0.712339E-04   0.659994E+02
   257   0.376333E+04   0.319794E+01   0.709210E-04   0.670581E+02
   258   0.374197E+04   0.329721E+01   0.705855E-04   0.681033E+02
   259   0.372030E+04   0.339835E+01   0.702282E-04   0.691204E+02
   260   0.369842E+04   0.350133E+01   0.698501E-04   0.701243E+02
   261   0.367616E+04   0.360606E+01   0.694519E-04   0.710930E+02
   262   0.365354E+04   0.371274E+01   0.690344E-04   0.720489E+02
   263   0.363092E+04   0.382115E+01   0.685986E-04   0.729850E+02
   264   0.360786E+04   0.393132E+01   0.681453E-04   0.738939E+02
   265   0.358442E+04   0.404317E+01   0.676753E-04   0.747684E+02
   266   0.356085E+04   0.415690E+01   0.671894E-04   0.756311E+02
   267   0.353690E+04   0.427213E+01   0.666886E-04   0.764597E+02
   268   0.351274E+04   0.438920E+01   0.661735E-04   0.772695E+02
   269   0.348821E+04   0.450780E+01   0.656451E-04   0.780532E+02
   270   0.346362E+04   0.462799E+01   0.651042E-04   0.788109E+02
   271   0.343873E+04   0.474968E+01   0.645517E-04   0.795430E+02
   272   0.341378E+04   0.487314E+01   0.639883E-04   0.802421E+02
   273   0.338854E+04   0.499776E+01   0.634150E-04   0.809233E+02
   274   0.336315E+04   0.512411E+01   0.628326E-04   0.815646E+02
   275   0.333755E+04   0.525166E+01   0.622418E-04   0.821884E+02
   276   0.331189E+04   0.538062E+01   0.616436E-04   0.827727E+02
   277   0.328594E+04   0.551096E+01   0.610388E-04   0.833400E+02
   278   0.325992E+04   0.564260E+01   0.604282E-04   0.838681E+02
   279   0.323377E+04   0.577543E+01   0.598127E-04   0.843648E+02
   280   0.320748E+04   0.590944E+01   0.591931E-04   0.848450E+02
   281   0.318120E+04   0.604469E+01   0.585702E-04   0.852868E+02
   282   0.315464E+04   0.618087E+01   0.579449E-04   0.856976E+02
   283   0.312808E+04   0.631817E+01   0.573181E-04   0.860779E+02
   284   0.310147E+04   0.645650E+01   0.566905E-04   0.864276E+02
   285   0.307479E+04   0.659585E+01   0.560630E-04   0.867471E+02
   286   0.304798E+04   0.673605E+01   0.554365E-04   0.870292E+02
   287   0.302112E+04   0.687708E+01   0.548118E-04   0.872888E+02
   288   0.299426E+04   0.701893E+01   0.541896E-04   0.875114E+02
   289   0.296735E+04   0.716149E+01   0.535710E-04   0.877046E+02
   290   0.294045E+04   0.730461E+01   0.529567E-04   0.878685E+02
   291   0.291357E+04   0.744900E+01   0.523475E-04   0.879886E+02
   292   0.288641E+04   0.759354E+01   0.517443E-04   0.880873E+02
   293   0.285956E+04   0.773783E+01   0.511479E-04   0.881426E+02
   294   0.283259E+04   0.788335E+01   0.505592E-04   0.881769E+02
   295   0.280585E+04   0.802858E+01   0.499790E-04   0.881681E+02
   296   0.277899E+04   0.817501E+01   0.494081E-04   0.881314E+02
   297   0.275221E+04   0.832037E+01   0.488475E-04   0.880670E+02
   298   0.272539E+04   0.846688E+01   0.482978E-04   0.879601E+02
   299   0.269873E+04   0.861378E+01   0.477601E-04   0.878184E+02
   300   0.267209E+04   0.875957E+01   0.472350E-04   0.876421E+02
   301   0.264555E+04   0.890571E+01   0.467233E-04   0.874389E+02
   302   0.261918E+04   0.905146E+01   0.462250E-04   0.872091E+02
   303   0.259290E+04   0.919758E+01   0.457400E-04   0.869380E+02
   304   0.256670E+04   0.934407E+01   0.452680E-04   0.866259E+02
   305   0.254066E+04   0.948944E+01   0.448090E-04   0.862880E+02
   306   0.251471E+04   0.963446E+01   0.443628E-04   0.859171E+02
   307   0.248891E+04   0.977911E+01   0.439292E-04   0.855061E+02
   308   0.246326E+04   0.992490E+01   0.435081E-04   0.850775E+02
   309   0.243783E+04   0.100688E+02   0.430994E-04   0.846018E+02
   310   0.241247E+04   0.102117E+02   0.427028E-04   0.841018E+02
   311   0.238733E+04   0.103557E+02   0.423182E-04   0.835626E+02
   312   0.236241E+04   0.104979E+02   0.419455E-04   0.829996E+02
   313   0.233762E+04   0.106398E+02   0.415845E-04   0.823981E+02
   314   0.231304E+04   0.107814E+02   0.412352E-04   0.817733E+02
   315   0.228866E+04   0.109211E+02   0.408972E-04   0.811105E+02
   316   0.226449E+04   0.110605E+02   0.405705E-04   0.804175E+02
   317   0.224052E+04   0.111982E+02   0.402549E-04   0.796946E+02
   318   0.221675E+04   0.113363E+02   0.399502E-04   0.789419E+02
   319   0.219325E+04   0.114726E+02   0.396564E-04   0.781599E+02
   320   0.217002E+04   0.116079E+02   0.393733E-04   0.773562E+02
   321   0.214697E+04   0.117429E+02   0.391006E-04   0.765163E+02
   322   0.212419E+04   0.118754E+02   0.388383E-04   0.756477E+02
   323   0.210166E+04   0.120068E+02   0.385862E-04   0.747509E+02
   324   0.207939E+04   0.121381E+02   0.383442E-04   0.738187E+02
   325   0.205745E+04   0.122653E+02   0.381120E-04   0.728735E+02
   326   0.203568E+04   0.123930E+02   0.378896E-04   0.718861E+02
   327   0.201424E+04   0.125190E+02   0.376768E-04   0.708789E+02
   328   0.199311E+04   0.126425E+02   0.374734E-04   0.698522E+02
   329   0.197223E+04   0.127650E+02   0.372793E-04   0.687915E+02
   330   0.195166E+04   0.128851E+02   0.370944E-04   0.677044E+02
   331   0.193147E+04   0.130034E+02   0.369185E-04   0.665986E+02
   332   0.191152E+04   0.131208E+02   0.367513E-04   0.654745E+02
   333   0.189188E+04   0.132357E+02   0.365929E-04   0.643249E+02
   334   0.187261E+04   0.133490E+02   0.364430E-04   0.631500E+02
   335   0.185357E+04   0.134590E+02   0.363015E-04   0.619502E+02
   336   0.183490E+04   0.135674E+02   0.361681E-04   0.607331E+02
   337   0.181660E+04   0.136741E+02   0.360429E-04   0.594841E+02
   338   0.179859E+04   0.137776E+02   0.359256E-04   0.582259E+02
   339   0.178102E+04   0.138802E+02   0.358161E-04   0.569438E+02
   340   0.176373E+04   0.139796E+02   0.357141E-04   0.556530E+02
